Filename,Raw Latitude,Raw Longitude,Reverse Geocode Response
photos/IMG_0328.jpeg,"38 deg 50' 7.45"" N","77 deg 48' 17.18"" W","{
	""address"": {
		""Match_addr"": ""4957-4961 Old Tavern Rd, The Plains, Virginia, 20198"",
		""LongLabel"": ""4957-4961 Old Tavern Rd, The Plains, VA, 20198, USA"",
		""ShortLabel"": ""4957-4961 Old Tavern Rd"",
		""Addr_type"": ""StreetAddress"",
		""Type"": """",
		""PlaceName"": """",
		""AddNum"": ""4957"",
		""Address"": ""4957 Old Tavern Rd"",
		""Block"": """",
		""Sector"": """",
		""Neighborhood"": """",
		""District"": """",
		""City"": ""The Plains"",
		""MetroArea"": """",
		""Subregion"": ""Fauquier County"",
		""Region"": ""Virginia"",
		""RegionAbbr"": ""VA"",
		""Territory"": """",
		""Postal"": ""20198"",
		""PostalExt"": ""2523"",
		""CntryName"": ""United States"",
		""CountryCode"": ""USA"",
		""X"": -77.804764177774,
		""Y"": 38.835377723891,
		""InputX"": -77.804772,
		""InputY"": 38.835403
	},
	""location"": {
		""x"": -77.804764177774,
		""y"": 38.835377723891,
		""spatialReference"": {
			""wkid"": 4326,
			""latestWkid"": 4326
		}
	}
}"
photos/IMG_0368.jpeg,"38 deg 42' 40.32"" N","77 deg 47' 25.29"" W","{
	""address"": {
		""Match_addr"": ""186-196 Main St, Warrenton, Virginia, 20186"",
		""LongLabel"": ""186-196 Main St, Warrenton, VA, 20186, USA"",
		""ShortLabel"": ""186-196 Main St"",
		""Addr_type"": ""StreetAddress"",
		""Type"": """",
		""PlaceName"": """",
		""AddNum"": ""186"",
		""Address"": ""186 Main St"",
		""Block"": """",
		""Sector"": """",
		""Neighborhood"": """",
		""District"": """",
		""City"": ""Warrenton"",
		""MetroArea"": """",
		""Subregion"": ""Fauquier County"",
		""Region"": ""Virginia"",
		""RegionAbbr"": ""VA"",
		""Territory"": """",
		""Postal"": ""20186"",
		""PostalExt"": ""3336"",
		""CntryName"": ""United States"",
		""CountryCode"": ""USA"",
		""X"": -77.790384374306,
		""Y"": 38.711148563125,
		""InputX"": -77.790358,
		""InputY"": 38.7112
	},
	""location"": {
		""x"": -77.790384374306,
		""y"": 38.711148563125,
		""spatialReference"": {
			""wkid"": 4326,
			""latestWkid"": 4326
		}
	}
}"
photos/IMG_0396.jpeg,"29 deg 12' 21.86"" N","82 deg 15' 28.87"" W","{
	""address"": {
		""Match_addr"": ""8505 NW 17th Ln, Ocala, Florida, 34482"",
		""LongLabel"": ""8505 NW 17th Ln, Ocala, FL, 34482, USA"",
		""ShortLabel"": ""8505 NW 17th Ln"",
		""Addr_type"": ""PointAddress"",
		""Type"": """",
		""PlaceName"": """",
		""AddNum"": ""8505"",
		""Address"": ""8505 NW 17th Ln"",
		""Block"": """",
		""Sector"": """",
		""Neighborhood"": """",
		""District"": """",
		""City"": ""Ocala"",
		""MetroArea"": """",
		""Subregion"": ""Marion County"",
		""Region"": ""Florida"",
		""RegionAbbr"": ""FL"",
		""Territory"": """",
		""Postal"": ""34482"",
		""PostalExt"": ""5807"",
		""CntryName"": ""United States"",
		""CountryCode"": ""USA"",
		""X"": -82.258129269936,
		""Y"": 29.206071272123,
		""InputX"": -82.258019,
		""InputY"": 29.206072
	},
	""location"": {
		""x"": -82.258129269936,
		""y"": 29.206071272123,
		""spatialReference"": {
			""wkid"": 4326,
			""latestWkid"": 4326
		}
	}
}"
photos/IMG_0419.jpeg,"38 deg 20' 16.26"" N","78 deg 16' 2.35"" W","{
	""address"": {
		""Match_addr"": ""22731, Pratts, Virginia"",
		""LongLabel"": ""22731, Pratts, VA, USA"",
		""ShortLabel"": ""22731"",
		""Addr_type"": ""Postal"",
		""Type"": """",
		""PlaceName"": ""22731"",
		""AddNum"": """",
		""Address"": """",
		""Block"": """",
		""Sector"": """",
		""Neighborhood"": """",
		""District"": """",
		""City"": ""Pratts"",
		""MetroArea"": """",
		""Subregion"": ""Madison County"",
		""Region"": ""Virginia"",
		""RegionAbbr"": ""VA"",
		""Territory"": """",
		""Postal"": ""22731"",
		""PostalExt"": """",
		""CntryName"": ""United States"",
		""CountryCode"": ""USA"",
		""X"": -78.267319,
		""Y"": 38.33785,
		""InputX"": -78.267319,
		""InputY"": 38.33785
	},
	""location"": {
		""x"": -78.267319,
		""y"": 38.33785,
		""spatialReference"": {
			""wkid"": 4326,
			""latestWkid"": 4326
		}
	}
}"
photos/IMG_0425.jpeg,"39 deg 56' 31.03"" N","82 deg 22' 30.36"" W","{
	""address"": {
		""Match_addr"": ""I-70 W, Thornville, Ohio, 43076"",
		""LongLabel"": ""I-70 W, Thornville, OH, 43076, USA"",
		""ShortLabel"": ""I-70 W"",
		""Addr_type"": ""StreetName"",
		""Type"": """",
		""PlaceName"": """",
		""AddNum"": """",
		""Address"": ""I-70 W"",
		""Block"": """",
		""Sector"": """",
		""Neighborhood"": """",
		""District"": """",
		""City"": ""Thornville"",
		""MetroArea"": """",
		""Subregion"": ""Licking County"",
		""Region"": ""Ohio"",
		""RegionAbbr"": ""OH"",
		""Territory"": """",
		""Postal"": ""43076"",
		""PostalExt"": """",
		""CntryName"": ""United States"",
		""CountryCode"": ""USA"",
		""X"": -82.375099524179,
		""Y"": 39.941961380357,
		""InputX"": -82.3751,
		""InputY"": 39.941953
	},
	""location"": {
		""x"": -82.375099524179,
		""y"": 39.941961380357,
		""spatialReference"": {
			""wkid"": 4326,
			""latestWkid"": 4326
		}
	}
}"
photos/IMG_0461.jpeg,"35 deg 16' 19.05"" N","82 deg 12' 52.92"" W","{
	""address"": {
		""Match_addr"": ""1701-2111 White Oak Mountain Rd, Columbus, North Carolina, 28722"",
		""LongLabel"": ""1701-2111 White Oak Mountain Rd, Columbus, NC, 28722, USA"",
		""ShortLabel"": ""1701-2111 White Oak Mountain Rd"",
		""Addr_type"": ""StreetAddress"",
		""Type"": """",
		""PlaceName"": """",
		""AddNum"": ""2109"",
		""Address"": ""2109 White Oak Mountain Rd"",
		""Block"": """",
		""Sector"": """",
		""Neighborhood"": """",
		""District"": """",
		""City"": ""Columbus"",
		""MetroArea"": """",
		""Subregion"": ""Polk County"",
		""Region"": ""North Carolina"",
		""RegionAbbr"": ""NC"",
		""Territory"": """",
		""Postal"": ""28722"",
		""PostalExt"": """",
		""CntryName"": ""United States"",
		""CountryCode"": ""USA"",
		""X"": -82.214694724781,
		""Y"": 35.271988823271,
		""InputX"": -82.2147,
		""InputY"": 35.271958
	},
	""location"": {
		""x"": -82.214694724781,
		""y"": 35.271988823271,
		""spatialReference"": {
			""wkid"": 4326,
			""latestWkid"": 4326
		}
	}
}"
photos/IMG_0471.jpeg,"38 deg 43' 43.33"" N","77 deg 47' 34.28"" W","{
	""address"": {
		""Match_addr"": ""67 W Lee Hwy, Warrenton, Virginia, 20186"",
		""LongLabel"": ""67 W Lee Hwy, Warrenton, VA, 20186, USA"",
		""ShortLabel"": ""67 W Lee Hwy"",
		""Addr_type"": ""PointAddress"",
		""Type"": """",
		""PlaceName"": """",
		""AddNum"": ""67"",
		""Address"": ""67 W Lee Hwy"",
		""Block"": """",
		""Sector"": """",
		""Neighborhood"": """",
		""District"": """",
		""City"": ""Warrenton"",
		""MetroArea"": """",
		""Subregion"": ""Fauquier County"",
		""Region"": ""Virginia"",
		""RegionAbbr"": ""VA"",
		""Territory"": """",
		""Postal"": ""20186"",
		""PostalExt"": ""2149"",
		""CntryName"": ""United States"",
		""CountryCode"": ""USA"",
		""X"": -77.793249961824,
		""Y"": 38.728571007367,
		""InputX"": -77.792856,
		""InputY"": 38.728703
	},
	""location"": {
		""x"": -77.793249961824,
		""y"": 38.728571007367,
		""spatialReference"": {
			""wkid"": 4326,
			""latestWkid"": 4326
		}
	}
}"
photos/IMG_1142.jpeg,"39 deg 10' 6.06"" N","76 deg 37' 20.88"" W","{
	""address"": {
		""Match_addr"": ""7348 Ritchie Hwy, Glen Burnie, Maryland, 21061"",
		""LongLabel"": ""7348 Ritchie Hwy, Glen Burnie, MD, 21061, USA"",
		""ShortLabel"": ""7348 Ritchie Hwy"",
		""Addr_type"": ""PointAddress"",
		""Type"": """",
		""PlaceName"": """",
		""AddNum"": ""7348"",
		""Address"": ""7348 Ritchie Hwy"",
		""Block"": """",
		""Sector"": """",
		""Neighborhood"": """",
		""District"": """",
		""City"": ""Glen Burnie"",
		""MetroArea"": """",
		""Subregion"": ""Anne Arundel County"",
		""Region"": ""Maryland"",
		""RegionAbbr"": ""MD"",
		""Territory"": """",
		""Postal"": ""21061"",
		""PostalExt"": ""3165"",
		""CntryName"": ""United States"",
		""CountryCode"": ""USA"",
		""X"": -76.622439993835,
		""Y"": 39.168275002934,
		""InputX"": -76.622467,
		""InputY"": 39.16835
	},
	""location"": {
		""x"": -76.622439993835,
		""y"": 39.168275002934,
		""spatialReference"": {
			""wkid"": 4326,
			""latestWkid"": 4326
		}
	}
}"
photos/IMG_8404.jpeg,"38 deg 42' 37.45"" N","77 deg 47' 26.20"" W","{
	""address"": {
		""Match_addr"": ""189 E Lee St, Warrenton, Virginia, 20186"",
		""LongLabel"": ""189 E Lee St, Warrenton, VA, 20186, USA"",
		""ShortLabel"": ""189 E Lee St"",
		""Addr_type"": ""PointAddress"",
		""Type"": """",
		""PlaceName"": """",
		""AddNum"": ""189"",
		""Address"": ""189 E Lee St"",
		""Block"": """",
		""Sector"": """",
		""Neighborhood"": """",
		""District"": """",
		""City"": ""Warrenton"",
		""MetroArea"": """",
		""Subregion"": ""Fauquier County"",
		""Region"": ""Virginia"",
		""RegionAbbr"": ""VA"",
		""Territory"": """",
		""Postal"": ""20186"",
		""PostalExt"": ""3613"",
		""CntryName"": ""United States"",
		""CountryCode"": ""USA"",
		""X"": -77.790928007006,
		""Y"": 38.710300009097,
		""InputX"": -77.790611,
		""InputY"": 38.710403
	},
	""location"": {
		""x"": -77.790928007006,
		""y"": 38.710300009097,
		""spatialReference"": {
			""wkid"": 4326,
			""latestWkid"": 4326
		}
	}
}"
photos/IMG_9295.jpeg,"40 deg 44' 55.07"" N","73 deg 59' 8.78"" W","{
	""address"": {
		""Match_addr"": ""Skanska USA Building"",
		""LongLabel"": ""Skanska USA Building, 350 5th Ave, Ste 6408, New York, NY, 10118, USA"",
		""ShortLabel"": ""Skanska USA Building"",
		""Addr_type"": ""POI"",
		""Type"": ""Other Professional Place"",
		""PlaceName"": ""Skanska USA Building"",
		""AddNum"": ""350"",
		""Address"": ""350 5th Ave"",
		""Block"": """",
		""Sector"": """",
		""Neighborhood"": """",
		""District"": """",
		""City"": ""New York"",
		""MetroArea"": """",
		""Subregion"": ""New York County"",
		""Region"": ""New York"",
		""RegionAbbr"": ""NY"",
		""Territory"": """",
		""Postal"": ""10118"",
		""PostalExt"": """",
		""CntryName"": ""United States"",
		""CountryCode"": ""USA"",
		""X"": -73.985772,
		""Y"": 40.748631,
		""InputX"": -73.985772,
		""InputY"": 40.748631
	},
	""location"": {
		""x"": -73.985772,
		""y"": 40.748631,
		""spatialReference"": {
			""wkid"": 4326,
			""latestWkid"": 4326
		}
	}
}"
